Rk,team_id,School,Conference,AP Rank,W,L,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1,2.0,Air Force,Mountain West Conference,,9,4,-1.51,4.75,3.25,39.95,7.21,11.89,5.71,5.97,2.27,6.77,3.97
2,3.0,Akron,Mid-American Conference,,2,10,-11.93,-6.71,-18.64,26.25,20.54,6.37,6.18,3.64,3.38,5.14,4.65
3,5.0,Alabama,Southeastern Conference,5.0,12,2,8.41,9.75,18.16,52.89,-1.54,11.5,4.08,5.88,2.19,7.88,3.15
4,8.0,Appalachian State,Sun Belt Conference,,9,5,7.47,-4.33,3.14,46.31,16.0,9.36,5.48,5.79,3.97,7.37,4.72
5,10.0,Arizona,Pacific 12 Conference,11.0,10,3,8.33,5.48,13.8,50.88,4.0,10.69,5.15,5.75,2.69,8.35,3.85
6,9.0,Arizona State,Pacific 12 Conference,,3,9,-6.01,2.03,-3.98,34.9,11.55,7.73,5.35,4.9,3.06,6.35,4.08
7,11.0,Arkansas,Southeastern Conference,,4,8,0.81,-0.61,0.2,42.87,11.32,8.66,5.45,4.68,3.22,6.3,4.21
8,12.0,Arkansas State,Sun Belt Conference,,6,7,-2.87,0.13,-2.74,37.7,16.58,9.0,6.45,5.21,3.56,6.87,4.92
9,,Army,,,6,6,-8.22,4.29,-3.94,32.47,9.74,8.63,5.69,5.37,3.69,6.03,4.75
10,14.0,Auburn,Southeastern Conference,,6,7,-1.93,5.94,4.01,42.06,3.55,8.46,5.0,6.02,3.03,6.93,3.91
11,17.0,Ball State,Mid-American Conference,,4,8,-11.49,0.75,-10.74,29.01,13.5,6.4,5.84,5.25,2.59,5.65,4.25
12,18.0,Baylor,Big 12 Conference,,3,9,0.09,-4.95,-4.86,40.18,15.67,8.87,6.9,4.54,3.58,6.68,5.04
13,20.0,Boise State,Mountain West Conference,,8,6,4.22,0.58,4.8,45.22,10.57,9.93,6.11,6.24,2.97,7.69,4.65
14,21.0,Boston College,Atlantic Coast Conference,,7,6,2.02,-4.57,-2.55,40.77,14.23,8.31,6.14,6.01,4.03,6.9,5.04
15,22.0,Bowling Green,Mid-American Conference,,7,6,-0.73,-1.32,-2.04,38.38,13.53,8.12,5.89,5.1,3.1,6.4,4.44
16,26.0,Buffalo,Mid-American Conference,,3,9,-6.61,-5.71,-12.32,31.8,18.66,6.64,6.04,4.63,4.19,5.56,5.12
17,16.0,BYU,Big 12 Conference,,5,7,-1.28,0.36,-0.92,39.87,11.99,7.88,5.19,4.62,3.6,6.22,4.42
18,29.0,California,Pacific 12 Conference,,6,7,5.93,-4.07,1.86,47.33,14.53,8.6,5.52,5.69,2.48,7.05,3.96
19,33.0,Central Michigan,Mid-American Conference,,5,7,-2.6,-10.58,-13.18,35.01,22.25,8.06,7.73,5.22,3.87,6.36,5.72
