Rank,Team,School,Conference,elo
0,121,Michigan,Big Ten Conference,1965
1,247,Washington,Pacific 12 Conference,1865
2,70,Georgia,Southeastern Conference,1825
3,5,Alabama,Southeastern Conference,1790
4,214,Texas,Big 12 Conference,1769
5,163,Oregon,Pacific 12 Conference,1768
6,10,Arizona,Pacific 12 Conference,1760
7,64,Florida State,Atlantic Coast Conference,1751
8,127,Missouri,Southeastern Conference,1744
9,162,Ole Miss,Southeastern Conference,1710
10,158,Ohio State,Big Ten Conference,1699
11,99,LSU,Southeastern Conference,1689
12,38,Clemson,Atlantic Coast Conference,1688
13,156,Notre Dame,Independent,1660
14,95,Kansas State,Big 12 Conference,1629
15,155,Northwestern,Big Ten Conference,1629
16,165,Penn State,Big Ten Conference,1628
17,159,Oklahoma,Big 12 Conference,1628
18,160,Oklahoma State,Big 12 Conference,1627
19,211,Tennessee,Southeastern Conference,1625
20,134,North Carolina State,Atlantic Coast Conference,1621
21,103,Liberty,Conference USA,1607
22,89,Iowa,Big Ten Conference,1606
23,250,West Virginia,Big 12 Conference,1590
24,244,Virginia Tech,Atlantic Coast Conference,1586
25,217,Texas Tech,Big 12 Conference,1581
26,94,Kansas,Big 12 Conference,1580
27,179,SMU,American Athletic Conference,1576
28,115,Memphis,American Athletic Conference,1562
29,235,UTSA,American Athletic Conference,1554
30,112,Maryland,Big Ten Conference,1554
31,118,Miami (OH),Mid-American Conference,1550
32,73,Georgia Tech,Atlantic Coast Conference,1542
33,232,USC,Pacific 12 Conference,1540
34,8,Appalachian State,Sun Belt Conference,1538
35,164,Oregon State,Pacific 12 Conference,1536
36,51,Duke,Atlantic Coast Conference,1532
37,221,Troy,Sun Belt Conference,1532
38,39,Coastal Carolina,Sun Belt Conference,1531
39,222,Tulane,American Athletic Conference,1531
40,228,UCLA,Pacific 12 Conference,1531
41,108,Louisville,Atlantic Coast Conference,1530
42,90,Iowa State,Big 12 Conference,1528
43,93,James Madison,Sun Belt Conference,1525
44,238,Utah,Pacific 12 Conference,1519
45,258,Wyoming,Mountain West Conference,1509
46,157,Ohio,Mid-American Conference,1493
47,219,Toledo,Mid-American Conference,1490
48,98,Kentucky,Southeastern Conference,1487
49,256,Wisconsin,Big Ten Conference,1487
50,177,Rutgers,Big Ten Conference,1485
51,29,California,Pacific 12 Conference,1477
52,2,Air Force,Mountain West Conference,1469
53,20,Boise State,Mountain West Conference,1465
54,188,South Carolina,Southeastern Conference,1459
