Date,Team,Opponent,Result,Score,Opponent Score,HomeTeamAdvantage,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate
2023-08-26,63,107,L,17,22,0,0,17.0,0,1,1.0,0.0
2023-08-26,107,63,W,22,17,1,0,22.0,1,0,1.0,0.0
2023-08-26,65,225,L,13,34,0,0,13.0,0,1,1.0,0.0
2023-08-26,225,65,W,34,13,1,0,34.0,1,0,1.0,0.0
2023-08-26,77,241,L,28,35,0,0,28.0,0,1,0.0,0.0
2023-08-26,241,77,W,35,28,1,0,35.0,1,0,1.0,0.0
2023-08-26,91,189,W,37,7,0,0,37.0,1,0,1.0,1.0
2023-08-26,189,91,L,7,37,0,0,7.0,0,1,1.0,0.0
2023-08-26,92,234,W,17,14,1,0,17.0,1,0,1.0,0.0
2023-08-26,234,92,L,14,17,0,0,14.0,0,1,1.0,0.0
2023-08-26,113,140,W,41,30,0,0,41.0,1,0,0.0,1.0
2023-08-26,140,113,L,30,41,1,0,30.0,0,1,0.0,0.0
2023-08-26,116,143,W,17,7,0,0,17.0,1,0,1.0,1.0
2023-08-26,143,116,L,7,17,0,0,7.0,0,1,1.0,0.0
2023-08-26,135,156,L,3,42,0,0,3.0,0,1,1.0,0.0
2023-08-26,156,135,W,42,3,0,0,42.0,1,0,1.0,1.0
2023-08-26,157,184,L,13,20,0,0,13.0,0,1,1.0,0.0
2023-08-26,184,157,W,20,13,1,0,20.0,1,0,1.0,0.0
2023-08-26,186,232,L,28,56,0,0,28.0,0,1,0.0,0.0
2023-08-26,232,186,W,56,28,1,0,56.0,1,0,1.0,1.0
2023-08-31,1,151,W,31,11,1,0,31.0,1,0,1.0,1.0
2023-08-31,151,1,L,11,31,0,0,11.0,0,1,0.0,0.0
2023-08-31,9,197,W,24,21,1,0,24.0,1,0,1.0,0.0
2023-08-31,197,9,L,21,24,0,0,21.0,0,1,1.0,0.0
2023-08-31,13,223,L,7,42,0,0,7.0,0,1,1.0,0.0
2023-08-31,223,13,W,42,7,1,0,42.0,1,0,1.0,0.0
2023-08-31,30,255,L,24,34,1,0,24.0,0,1,0.0,1.0
2023-08-31,255,30,W,34,24,0,0,34.0,1,0,1.0,1.0
2023-08-31,48,204,W,37,13,0,0,37.0,1,0,1.0,1.0
2023-08-31,204,48,L,13,37,1,0,13.0,0,1,0.0,0.0
2023-08-31,55,88,W,27,0,0,0,27.0,1,0,1.0,1.0
2023-08-31,88,55,L,0,27,1,0,0.0,0,1,0.0,0.0
2023-08-31,59,246,L,17,37,0,0,17.0,0,1,1.0,0.0
2023-08-31,246,59,W,37,17,1,0,37.0,1,0,1.0,1.0
2023-08-31,62,238,L,11,24,0,0,11.0,0,1,1.0,0.0
2023-08-31,238,62,W,24,11,1,0,24.0,1,0,1.0,1.0
2023-08-31,67,210,W,45,10,1,0,45.0,1,0,1.0,0.0
2023-08-31,210,67,L,10,45,0,0,10.0,0,1,0.0,0.0
2023-08-31,72,173,W,42,35,1,0,42.0,1,0,1.0,1.0
2023-08-31,173,72,L,35,42,0,0,35.0,0,1,1.0,0.0
2023-08-31,83,101,W,42,17,0,0,42.0,1,0,1.0,1.0
2023-08-31,101,83,L,17,42,1,0,17.0,0,1,0.0,0.0
2023-08-31,97,227,L,6,56,0,0,6.0,0,1,1.0,0.0
2023-08-31,227,97,W,56,6,1,0,56.0,1,0,1.0,1.0
2023-08-31,123,136,W,13,10,1,0,13.0,1,0,1.0,0.0
2023-08-31,136,123,L,10,13,0,0,10.0,0,1,1.0,0.0
2023-08-31,127,190,W,35,10,1,0,35.0,1,0,1.0,1.0
2023-08-31,190,127,L,10,35,0,0,10.0,0,1,1.0,0.0
2023-08-31,134,229,W,24,14,0,0,24.0,1,0,0.0,1.0
2023-08-31,229,134,L,14,24,1,0,14.0,0,1,0.0,0.0
2023-08-31,141,180,L,24,38,1,0,24.0,0,1,0.0,0.0
2023-08-31,180,141,W,38,24,0,0,38.0,1,0,1.0,1.0
2023-08-31,144,224,L,6,35,0,0,6.0,0,1,0.0,0.0
2023-08-31,224,144,W,35,6,1,0,35.0,1,0,1.0,0.0
2023-08-31,198,254,L,17,35,0,0,17.0,0,1,0.0,0.0
2023-08-31,254,198,W,35,17,1,0,35.0,1,0,1.0,0.0
2023-08-31,213,226,L,10,48,1,0,10.0,0,1,0.0,0.0
2023-08-31,226,213,W,48,10,0,0,48.0,1,0,1.0,1.0
2023-08-31,240,260,L,10,52,0,0,10.0,0,1,0.0,0.0
2023-08-31,260,240,W,52,10,1,0,52.0,1,0,1.0,0.0
2023-09-01,33,120,L,7,31,0,0,7.0,0,1,1.0,0.0
2023-09-01,120,33,W,31,7,1,0,31.0,1,0,1.0,0.0
2023-09-01,57,81,W,33,23,1,0,33.0,1,0,1.0,0.0
2023-09-01,81,57,L,23,33,0,0,23.0,0,1,1.0,0.0
2023-09-01,73,108,L,34,39,0,0,34.0,0,1,1.0,0.0
2023-09-01,108,73,W,39,34,0,0,39.0,1,0,1.0,1.0
2023-09-01,77,200,L,24,37,1,0,26.0,0,2,0.0,0.0
2023-09-01,200,77,W,37,24,0,0,37.0,1,0,0.0,1.0
2023-09-01,94,126,W,48,17,1,0,48.0,1,0,1.0,1.0
2023-09-01,126,94,L,17,48,0,0,17.0,0,1,1.0,0.0
2023-09-01,118,119,L,3,38,0,0,3.0,0,1,1.0,0.0
2023-09-01,119,118,W,38,3,1,0,38.0,1,0,1.0,1.0
2023-09-02,2,176,W,42,7,1,0,42.0,1,0,1.0,1.0
2023-09-02,176,2,L,7,42,0,0,7.0,0,1,1.0,0.0
2023-09-02,3,208,L,21,24,0,0,21.0,0,1,1.0,0.0
2023-09-02,208,3,W,24,21,1,0,24.0,1,0,1.0,0.0
2023-09-02,4,241,L,13,47,0,0,13.0,0,1,1.0,0.0
2023-09-02,241,4,W,47,13,1,0,41.0,2,0,1.0,0.0
2023-09-02,5,122,W,56,7,1,0,56.0,1,0,1.0,1.0
2023-09-02,122,5,L,7,56,0,0,7.0,0,1,1.0,0.0
2023-09-02,6,195,W,14,10,1,0,14.0,1,0,1.0,0.0
2023-09-02,195,6,L,10,14,0,0,10.0,0,1,0.0,0.0
2023-09-02,7,196,L,14,40,0,0,14.0,0,1,1.0,0.0
