game_id,Team,Opponent,Result,HomeTeamAdvantage,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
0,63,107,0,0,0,17.0,0,1,1.0,0.0,-8.31,-6.99,-15.3,29.98,20.93,8.52,6.27,3.31,3.94,5.89,4.97
1,107,63,1,1,0,22.0,1,0,1.0,0.0,-1.83,-9.46,-11.28,37.45,22.19,8.91,5.59,4.58,4.76,6.79,5.04
4,77,241,0,0,0,28.0,0,1,0.0,0.0,-4.87,-5.91,-10.79,33.77,20.17,8.01,6.78,3.74,3.56,6.26,4.97
5,241,77,1,1,0,35.0,1,0,1.0,0.0,-1.83,-7.38,-9.2,40.36,18.31,8.55,5.61,4.64,3.91,6.65,4.85
8,92,234,1,1,0,17.0,1,0,1.0,0.0,-0.6,1.28,0.68,40.37,11.15,7.72,5.8,5.26,2.24,6.2,3.8
9,234,92,0,0,0,14.0,0,1,1.0,0.0,-7.53,-3.56,-11.1,31.32,15.96,9.29,5.46,4.6,4.73,6.59,4.94
10,113,140,1,0,0,41.0,1,0,0.0,1.0,-1.35,-11.22,-12.57,37.05,26.67,8.56,7.39,5.32,4.38,6.8,5.75
11,140,113,0,1,0,30.0,0,1,0.0,0.0,-1.87,0.64,-1.23,37.0,11.7,9.45,6.44,6.2,3.77,7.6,5.09
14,135,156,0,0,0,3.0,0,1,1.0,0.0,-9.97,4.15,-5.82,29.27,9.08,7.53,6.31,5.12,2.61,5.82,4.47
15,156,135,1,0,0,42.0,1,0,1.0,1.0,7.31,9.48,16.79,56.43,0.72,10.88,3.71,6.73,2.37,8.5,3.04
16,157,184,0,0,0,13.0,0,1,1.0,0.0,-5.28,4.62,-0.66,33.64,8.18,7.8,5.86,4.59,2.64,5.96,4.3
17,184,157,1,1,0,20.0,1,0,1.0,0.0,-5.83,-2.78,-8.61,33.73,14.89,7.95,5.87,5.14,4.06,6.26,5.08
18,186,232,0,0,0,28.0,0,1,0.0,0.0,0.11,1.07,1.18,43.3,10.43,8.82,4.59,6.41,3.35,7.49,3.98
19,232,186,1,1,0,56.0,1,0,1.0,1.0,16.66,-7.07,9.59,61.0,16.01,11.66,5.62,6.29,3.48,9.18,4.35
34,62,238,0,0,0,11.0,0,1,1.0,0.0,4.21,-0.91,3.31,46.49,8.98,10.04,6.14,5.66,3.49,7.67,4.73
35,238,62,1,1,0,24.0,1,0,1.0,1.0,-3.28,10.25,6.97,39.81,-0.15,8.43,4.62,5.47,1.97,6.62,3.36
42,97,227,0,0,0,6.0,0,1,1.0,0.0,-12.52,-9.82,-22.33,27.03,26.99,7.83,7.77,3.78,4.01,5.42,5.61
43,227,97,1,1,0,56.0,1,0,1.0,1.0,1.57,0.77,2.34,45.52,8.54,10.5,5.21,6.47,3.51,8.1,4.29
44,123,136,1,1,0,13.0,1,0,1.0,0.0,-0.43,0.43,-0.01,39.63,12.09,8.01,5.84,5.67,3.54,6.56,4.73
45,136,123,0,0,0,10.0,0,1,1.0,0.0,-5.93,7.99,2.06,34.82,3.24,8.22,4.68,5.78,2.02,6.68,3.41
48,134,229,1,0,0,24.0,1,0,0.0,1.0,1.77,5.65,7.41,43.25,3.77,8.65,4.94,5.62,2.56,6.89,3.92
49,229,134,0,1,0,14.0,0,1,0.0,0.0,-9.56,-0.36,-9.92,30.53,15.77,7.25,6.81,5.12,3.09,6.06,4.9
60,33,120,0,0,0,7.0,0,1,1.0,0.0,-2.6,-10.58,-13.18,35.01,22.25,8.06,7.73,5.22,3.87,6.36,5.72
61,120,33,1,1,0,31.0,1,0,1.0,0.0,-4.57,3.02,-1.54,36.16,12.08,8.55,6.25,4.47,2.91,6.45,4.46
64,73,108,0,0,0,34.0,0,1,1.0,0.0,6.43,-2.73,3.71,48.07,12.31,9.46,5.52,6.73,4.02,7.86,4.72
65,108,73,1,0,0,39.0,1,0,1.0,1.0,3.33,7.09,10.42,47.13,2.77,10.06,5.33,5.95,1.78,7.71,3.59
66,77,200,0,1,0,26.0,0,2,0.0,0.0,-4.87,-5.91,-10.79,33.77,20.17,8.01,6.78,3.74,3.56,6.26,4.97
67,200,77,1,0,0,37.0,1,0,0.0,1.0,-3.02,-1.74,-4.76,37.51,16.35,8.66,5.9,4.76,3.47,6.71,4.5
70,118,119,0,0,0,3.0,0,1,1.0,0.0,-4.53,6.28,1.75,35.31,6.37,8.94,5.8,5.18,2.74,6.53,4.2
71,119,118,1,1,0,38.0,1,0,1.0,1.0,4.64,3.33,7.97,48.16,6.75,9.52,5.48,6.36,2.07,7.87,3.82
74,3,208,0,0,0,21.0,0,1,1.0,0.0,-11.93,-6.71,-18.64,26.25,20.54,6.37,6.18,3.64,3.38,5.14,4.65
75,208,3,1,1,0,24.0,1,0,1.0,0.0,-7.69,-6.71,-14.4,31.95,22.03,7.69,7.73,4.37,3.65,6.31,5.25
78,5,122,1,1,0,56.0,1,0,1.0,1.0,8.41,9.75,18.16,52.89,-1.54,11.5,4.08,5.88,2.19,7.88,3.15
79,122,5,0,0,0,7.0,0,1,1.0,0.0,-3.45,-2.15,-5.6,36.75,15.97,8.91,5.18,4.59,3.37,6.81,4.33
