team_id,Team,School,Conference
1,Abilene Christian Wildcats,Abilene,United Athletic Conference
2,Air Force Falcons,Air Force,Mountain West Conference
3,Akron Zips,Akron,Mid-American Conference
4,Alabama A&M Bulldogs,Alabama A&M,Southwestern Athletic Conference
5,Alabama Crimson Tide,Alabama,Southeastern Conference
6,Alabama State Hornets,Alabama State,Southwestern Athletic Conference
7,Alcorn State Braves,Alcorn State,Southwestern Athletic Conference
8,Appalachian State Mountaineers,Appalachian State,Sun Belt Conference
9,Arizona State Sun Devils,Arizona State,Pacific 12 Conference
10,Arizona Wildcats,Arizona,Pacific 12 Conference
11,Arkansas Razorbacks,Arkansas,Southeastern Conference
12,Arkansas State Red Wolves,Arkansas State,Sun Belt Conference
13,Arkansas-Pine Bluff Golden Lions,Arkansas-Pine Bluff,Southwestern Athletic Conference
14,Auburn Tigers,Auburn,Southeastern Conference
15,Austin Peay Governors,Austin Peay,United Athletic Conference
16,BYU Cougars,BYU,Big 12 Conference
17,Ball State Cardinals,Ball State,Mid-American Conference
18,Baylor Bears,Baylor,Big 12 Conference
19,Bethune-Cookman Wildcats,Bethune-Cookman,Southwestern Athletic Conference
20,Boise State Broncos,Boise State,Mountain West Conference
21,Boston College Eagles,Boston College,Atlantic Coast Conference
22,Bowling Green Falcons,Bowling Green,Mid-American Conference
23,Brown Bears,Brown,Ivy League
24,Bryant Bulldogs,Bryant,Big South-OVC
25,Bucknell Bison,Bucknell,Patriot League
26,Buffalo Bulls,Buffalo,Mid-American Conference
27,Butler Bulldogs,Butler,Pioneer Football League
28,Cal Poly Mustangs,Cal Poly,Big Sky Conference
29,California Golden Bears,California,Pacific 12 Conference
30,Campbell Fighting Camels,Campbell,Colonial Athletic Association
31,Central Arkansas Bears,Central Arkansas,United Athletic Conference
32,Central Connecticut Blue Devils,Central Connecticut,Northeast Conference
33,Central Michigan Chippewas,Central Michigan,Mid-American Conference
34,Charleston Southern Buccaneers,Charleston Southern,Big South-OVC
35,Charlotte 49ers,Charlotte,American Athletic Conference
36,Chattanooga Mocs,Chattanooga,Southern Conference
