Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1,Notre Dame,Ind,4,11,1,9.34,11.93,21.28,59.70,-2.79,9.14,3.37,7.86,2.09,8.37,2.84
2,Ohio State,Big Ten,7,10,2,5.99,15.26,21.25,54.60,-6.68,11.05,3.70,6.66,1.39,8.67,2.37
3,Texas,SEC,2,11,1,4.15,16.19,20.34,55.64,-7.69,10.24,2.97,6.47,1.48,8.23,2.22
4,Oregon,Big Ten,1,12,0,10.97,9.12,20.09,52.90,0.72,10.73,3.82,6.34,2.26,8.35,3.02
5,Penn State,Big Ten,3,11,1,5.97,11.82,17.79,51.59,-2.17,11.31,3.89,6.61,1.92,8.58,2.81
6,SMU,ACC,8,11,1,11.62,6.02,17.64,56.75,3.96,11.09,4.75,6.10,1.81,8.20,3.29
7,Alabama,SEC,11,9,3,7.72,9.25,16.97,57.24,-2.20,11.02,4.02,6.54,2.49,8.38,3.21
8,Georgia,SEC,5,10,2,10.45,6.34,16.79,56.03,-0.66,10.12,4.03,5.94,2.12,8.26,3.04
9,Ole Miss,SEC,15,9,3,3.76,12.41,16.17,56.08,-4.36,12.18,4.74,6.01,1.12,8.86,2.83
10,Indiana,Big Ten,9,11,1,7.37,8.78,16.15,60.38,1.49,11.85,3.72,6.05,1.54,8.42,2.66
11,South Carolina,SEC,13,9,3,7.54,8.60,16.14,53.05,-2.08,10.54,4.54,5.95,1.51,7.69,2.98
12,Miami (FL),ACC,14,10,2,13.67,2.46,16.13,60.94,7.32,11.26,4.91,6.84,2.69,9.14,3.78
13,Louisville,ACC,,8,4,9.20,5.16,14.36,55.12,2.59,9.97,4.90,7.16,2.11,8.53,3.49
14,Clemson,ACC,18,9,3,7.57,5.88,13.45,53.29,3.97,9.04,4.53,7.04,3.40,8.05,3.96
15,LSU,SEC,,8,4,8.03,4.96,12.98,51.76,2.28,9.68,4.82,6.03,2.86,8.11,3.82
