team_id,school,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1,Abilene,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Air Force,0,20.03125,1,4,0,0,-8.85,0.98,-7.87,30.82,11.58,9.23,6.03,4.68,3.47,5.61,4.7
3,Akron,0,29.1640625,1,8,0,0,-4.04,-3.73,-7.77,35.11,19.13,8.11,6.73,4.58,3.76,6.53,5.03
4,Alabama A&M,0,1.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alabama,0,36.171875,6,0,0,0,7.72,9.25,16.97,57.24,-2.2,11.02,4.02,6.54,2.49,8.38,3.21
6,Alabama State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Alcorn State,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Appalachian State,0,23.15625,1,6,0,0,-0.19,-3.66,-3.84,39.84,17.36,9.17,7.04,5.25,4.0,7.18,5.21
9,Arizona State,0,39.4375,8,0,0,0,4.43,6.0,10.43,48.6,3.78,10.4,4.43,5.83,2.15,7.64,3.35
10,Arizona,0,15.4609375,1,6,0,0,-3.83,-0.69,-4.52,37.68,14.01,8.81,6.13,5.34,3.47,7.22,4.62
11,Arkansas,0,25.75,3,3,0,0,3.82,0.97,4.79,50.51,5.9,10.39,5.42,6.52,2.12,8.31,3.65
12,Arkansas State,0,29.47265625,5,5,0,0,-1.69,-4.77,-6.46,36.74,19.35,8.01,6.98,5.05,4.8,6.42,5.75
13,Arkansas-Pine Bluff,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Auburn,0,24.7421875,4,3,0,0,-0.21,5.35,5.14,47.55,2.41,10.55,5.23,6.44,1.53,8.38,3.2
15,Austin Peay,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
